id,article,category,status,text,llm,tool,score,label
1,1,social,non-native,original,,GPTZero,0.00%,human
2,2,social,native,original,,GPTZero,0.00%,human
3,3,interdisciplinary,native,original,,GPTZero,0.00%,human
4,4,interdisciplinary,non-native,original,,GPTZero,0.00%,human
5,5,tech&engineering,non-native,original,,GPTZero,1.00%,human
6,6,tech&engineering,non-native,original,,GPTZero,0.00%,human
7,7,social,native,original,,GPTZero,1.00%,human
8,8,interdisciplinary,native,original,,GPTZero,0.00%,human
9,9,tech&engineering,native,original,,GPTZero,0.00%,human
10,10,social,non-native,original,,GPTZero,3.00%,human
11,11,tech&engineering,native,original,,GPTZero,0.00%,human
12,12,tech&engineering,non-native,original,,GPTZero,1.00%,human
13,13,tech&engineering,native,original,,GPTZero,2.00%,human
14,14,tech&engineering,native,original,,GPTZero,1.00%,human
15,15,social,non-native,original,,GPTZero,2.00%,human
16,16,interdisciplinary,native,original,,GPTZero,3.00%,human
17,17,tech&engineering,native,original,,GPTZero,2.00%,human
18,18,interdisciplinary,non-native,original,,GPTZero,0.00%,human
19,19,social,non-native,original,,GPTZero,0.00%,human
20,20,tech&engineering,native,original,,GPTZero,1.00%,human
21,21,interdisciplinary,non-native,original,,GPTZero,1.00%,human
22,22,tech&engineering,non-native,original,,GPTZero,9.00%,human
23,23,tech&engineering,non-native,original,,GPTZero,0.00%,human
24,24,interdisciplinary,native,original,,GPTZero,0.00%,human
25,25,social,native,original,,GPTZero,1.00%,human
26,26,interdisciplinary,native,original,,GPTZero,0.00%,human
27,27,interdisciplinary,non-native,original,,GPTZero,1.00%,human
28,28,tech&engineering,native,original,,GPTZero,0.00%,human
29,29,interdisciplinary,native,original,,GPTZero,0.00%,human
30,30,social,non-native,original,,GPTZero,1.00%,human
31,31,social,native,original,,GPTZero,1.00%,human
32,32,tech&engineering,non-native,original,,GPTZero,0.00%,human
33,33,social,native,original,,GPTZero,0.00%,human
34,34,interdisciplinary,native,original,,GPTZero,0.00%,human
35,35,social,non-native,original,,GPTZero,1.00%,human
36,36,interdisciplinary,non-native,original,,GPTZero,0.00%,human
37,37,tech&engineering,non-native,original,,GPTZero,0.00%,human
38,38,social,native,original,,GPTZero,1.00%,human
39,39,interdisciplinary,native,original,,GPTZero,1.00%,human
40,40,tech&engineering,native,original,,GPTZero,2.00%,human
41,41,tech&engineering,non-native,original,,GPTZero,0.00%,human
42,42,interdisciplinary,non-native,original,,GPTZero,0.00%,human
43,43,interdisciplinary,native,original,,GPTZero,0.00%,human
44,44,social,non-native,original,,GPTZero,0.00%,human
45,45,tech&engineering,native,original,,GPTZero,0.00%,human
46,46,interdisciplinary,native,original,,GPTZero,0.00%,human
47,47,social,non-native,original,,GPTZero,1.00%,human
48,48,tech&engineering,native,original,,GPTZero,1.00%,human
49,49,interdisciplinary,non-native,original,,GPTZero,0.00%,human
50,50,tech&engineering,non-native,original,,GPTZero,2.00%,human
51,51,social,native,original,,GPTZero,1.00%,human
52,52,social,non-native,original,,GPTZero,0.00%,human
53,53,tech&engineering,non-native,original,,GPTZero,2.00%,human
54,54,social,non-native,original,,GPTZero,0.00%,human
55,55,tech&engineering,non-native,original,,GPTZero,2.00%,human
56,56,social,native,original,,GPTZero,0.00%,human
57,57,tech&engineering,non-native,original,,GPTZero,0.00%,human
58,58,social,non-native,original,,GPTZero,1.00%,human
59,59,interdisciplinary,non-native,original,,GPTZero,0.00%,human
60,60,interdisciplinary,non-native,original,,GPTZero,0.00%,human
61,61,interdisciplinary,native,original,,GPTZero,1.00%,human
62,62,social,native,original,,GPTZero,13.00%,human
63,63,tech&engineering,native,original,,GPTZero,0.00%,human
64,64,tech&engineering,native,original,,GPTZero,0.00%,human
65,65,interdisciplinary,non-native,original,,GPTZero,0.00%,human
66,66,interdisciplinary,non-native,original,,GPTZero,0.00%,human
67,67,interdisciplinary,native,original,,GPTZero,0.00%,human
68,68,social,non-native,original,,GPTZero,0.00%,human
69,69,interdisciplinary,non-native,original,,GPTZero,0.00%,human
70,70,social,native,original,,GPTZero,0.00%,human
